Community Code,"Bundesland, Politischer Bezirk, Gemeinde",total population,"Proportion of people
 under 15 years","Proportion of people
 65 years and older",share of non-Austrian citizens,"employment rate
 of 15 to 64 year olds","unemployment rate
 (15 years and older)",Share of people with secondary education,Share of people with tertiary education,Share of commuters in active employment,Number of private households,average household size,Number of families,Companies,Workplaces,Employees in the workplaces
41803,Bad Wimsbach-Neydharting,2592,16.5,17.2,6.4,82.1,2.4,67.1,9.3,73.8,1045,2.48,759,220,232,1098
41802,Bachmanning,738,20.2,16.8,14.4,75.7,4.5,64.9,8.3,73,275,2.68,211,58,60,220
41801,Aichkirchen,601,20.6,14.8,4,80.7,2.7,66.7,10.5,79,231,2.6,170,54,56,408
41752,Zell am Pettenfirst,1263,16.3,18.3,4.6,76.3,2.7,67.1,10.5,81,497,2.54,371,81,88,224
41751,Zell am Moos,1618,15.9,17.7,8.8,81.7,2.3,62.8,12.9,69,619,2.61,474,170,182,752
41750,Wolfsegg am Hausruck,1998,16,19.9,10.9,76.5,4.1,65.3,10.9,76.6,821,2.43,568,127,138,681
41749,Weyregg am Attersee,1563,14.8,21.3,5.8,77.2,2.3,61.5,18.3,70.4,683,2.29,443,162,175,394
41748,Weißenkirchen im Attergau,974,17.8,16.9,3.4,81,1.9,64.2,7.6,72.9,364,2.68,286,102,105,286
41747,Vöcklamarkt,5085,15.4,17.8,12.1,78.4,3.6,64.1,7.8,67.7,2061,2.44,1445,368,407,2482
41746,Vöcklabruck,12403,13.2,22.5,19,72,6.7,56.8,15,58.6,5823,2.04,3285,1249,1537,13415
41745,Unterach am Attersee,1517,12.2,23.1,12.5,76.5,2.8,65.6,15.1,63.7,725,2.09,417,153,164,876
41744,Ungenach,1499,16.9,16.2,5.2,80.2,2.6,67.6,12.9,82.8,561,2.67,431,95,103,256
41743,Timelkam,5790,13.7,19.9,11.7,75.5,3.8,64.5,8.8,79.8,2526,2.24,1654,298,350,1942
41742,Tiefgraben,4028,17.6,14.3,9.8,82.7,1.7,63.2,15.3,74.8,1543,2.61,1153,407,437,1302
41741,Straß im Attergau,1499,15.2,14.1,8.1,81.2,2.8,66.6,8.8,79.5,581,2.58,422,139,143,382
41740,Steinbach am Attersee,883,15.2,25.5,10.5,79.4,2.1,68.2,13.8,61.7,402,2.18,237,98,105,342
41739,Seewalchen am Attersee,5682,15,19,7.3,77.8,2.7,63.9,16.5,79.1,2525,2.25,1683,390,433,1560
41738,Schwanenstadt,4362,15.5,18.5,20.6,74.5,5.5,57.5,10.1,75.2,1984,2.16,1193,288,346,2260
41737,Schörfling am Attersee,3459,15.1,19.2,8.2,78.2,2.9,64.6,16.5,75.2,1576,2.19,996,289,335,1710
41736,Schlatt,1380,14.7,18.8,7.9,78.3,4.5,67.5,9.9,86,579,2.38,412,85,91,335
41735,St. Lorenz,2514,17.2,17,8.2,80,2.4,63.5,15.9,74.2,973,2.58,713,302,317,918
41734,St. Georgen im Attergau,4395,16.5,16.1,13.7,78.2,3,64.9,10.1,66.2,1779,2.4,1223,345,391,2000
41733,Rutzenham,300,21.7,16.7,4,82.2,1.3,66,16.2,74.5,111,2.7,93,32,32,67
41732,Rüstorf,2166,15.6,16.9,7.7,79.7,3.2,64,8,84.9,918,2.36,651,108,117,564
41731,Regau,6681,16.6,16.1,9.7,78.8,3.1,65.6,9.8,79.3,2622,2.54,1965,613,680,3065
41730,Redlham,1624,15,16.8,6.4,80.4,3.3,67.5,9.4,87.3,682,2.38,497,95,104,863
41729,Redleiten,541,19.2,12.8,10.2,79.3,2.3,63.8,5.3,84.3,198,2.73,156,33,34,70
41728,Pühret,625,17.4,17.3,1.8,79.4,0.6,68.6,9.3,87.1,218,2.87,191,40,42,90
41727,Puchkirchen am Trattberg,1060,19.2,14.1,3.7,79.1,2.4,65.2,13.8,81.8,382,2.77,307,101,103,352
41726,Pöndorf,2420,16.3,16.5,6.8,81.9,2.1,65.1,5.1,74.7,942,2.57,701,213,223,698
41725,Pitzenberg,547,16.3,14.1,2.7,79.8,2.8,71.2,9,85,207,2.64,167,33,35,91
41724,Pilsbach,623,13.5,17.7,2.9,79.7,2.8,66.8,12.6,81.4,236,2.64,186,57,57,105
41723,Pfaffing,1480,15.7,18.9,3.7,75.1,1.9,65.8,7.8,80.4,547,2.59,419,92,97,520
41722,Ottnang am Hausruck,3912,17,19,8.1,75.3,4,64.5,8,77.1,1532,2.51,1112,243,263,870
41721,Oberwang,1744,17.6,15.3,3.7,85.8,1,66.7,5.6,64.5,655,2.66,490,194,201,793
41720,Oberndorf bei Schwanenstadt,1388,13.8,18.4,8.7,73.5,4.6,66.7,8.7,87.3,605,2.29,410,77,82,429
41719,Oberhofen am Irrsee,1682,18,14,8.5,82.3,2.9,67.1,10.5,76.1,680,2.47,469,149,160,493
41718,Nußdorf am Attersee,1148,14.6,23,10.6,80,3.1,67,13.9,59.6,515,2.23,319,166,175,420
41717,Niederthalheim,1095,18.8,18,7.7,79,2.9,64.5,6.5,74.1,386,2.84,306,94,96,206
41716,Neukirchen an der Vöckla,2629,16.6,19.5,4,81,1.8,66.9,10,71.8,996,2.59,752,189,203,926
41715,Mondsee,3822,13.1,20,22.3,79.4,3.4,60,16.4,63.9,1877,2,1017,615,688,3580
41714,Manning,790,15.2,18.7,1.6,78.7,2.8,68.4,8.4,85.2,306,2.58,227,50,56,118
41713,Lenzing,5216,14.1,20.6,13.4,75.4,5.2,63.4,7.5,64.2,2432,2.1,1483,197,248,5962
41712,Innerschwand am Mondsee,1172,16.6,16.7,6.5,82.6,1.9,64.4,13.5,76.6,447,2.62,346,124,131,365
41711,Gampern,2989,17.8,15,4.1,79.7,1.9,65.5,10.7,76.1,1135,2.63,887,209,219,1760
41710,Frankenmarkt,3692,16,18.7,15.2,76.3,4.1,61,7.9,63.7,1525,2.36,1020,221,252,1985
41709,Frankenburg am Hausruck,4899,14.8,19.1,5.7,79.7,2.7,65,7.1,67.2,2011,2.4,1416,359,384,1601
41708,Fornach,975,19,14.3,3.7,82.3,2.2,66.2,7,79.5,362,2.69,282,76,78,291
41707,Desselbrunn,1863,19,14.9,4.3,82.2,2.2,70.1,8.5,81,688,2.71,566,139,150,470
41706,Berg im Attergau,1073,17.6,14.8,4.2,82.8,1.8,64,9.3,76.8,408,2.63,309,96,99,252
41705,Aurach am Hongar,1727,16.4,15.9,3.8,81.9,2.2,69.7,7.6,81.7,673,2.57,511,121,130,282
41704,Atzbach,1220,16.3,17.5,5.8,79.2,1.5,61,10.4,68.5,470,2.6,356,123,129,574
41703,Attnang-Puchheim,9102,16,19.8,28.8,70.6,7.8,56.2,6.8,70.8,3897,2.28,2482,385,479,5069
41702,Attersee am Attersee,1603,13.1,21.9,8.2,77.5,3.9,60.8,19.5,70.2,751,2.13,436,182,205,514
41701,Ampflwang im Hausruckwald,3383,15.1,21.2,13.4,73,5.6,62.1,5.8,72.9,1482,2.28,990,154,173,1042
41628,Vorderweißenbach,2669,17.3,17,1.9,82.1,1.9,66,9,72.4,1027,2.6,767,204,213,778
41627,Zwettl an der Rodl,1756,17.5,18,5.6,82.1,2.1,63.7,13.4,79.3,709,2.48,498,149,160,509
41626,Walding,4177,14.9,21.1,5,79.1,1.7,62.9,15.8,78.4,1789,2.28,1219,296,329,1268
41624,Steyregg,4946,14.7,21.1,8.5,79.3,2.5,63,15.5,80.3,2302,2.15,1491,366,404,2025
41623,Sonnberg im Mühlkreis,1024,19.2,14.3,1.8,84.7,1.5,64.3,15.5,84.7,395,2.59,306,91,94,226
41622,Schenkenfelden,1572,14.6,17.9,1.8,78.8,1.5,67.6,8.6,75.2,594,2.62,457,144,154,395
41621,St. Gotthard im Mühlkreis,1305,15.1,18.6,4.8,79.2,2.6,66,13.4,83.9,568,2.3,393,95,98,191
41620,Reichenthal,1498,17.7,17.1,2.7,84.7,1.1,68,7.9,74.3,618,2.42,435,113,128,676
41619,Reichenau im Mühlkreis,1336,17.4,14.1,6.1,79.5,0.9,67.7,13,79.6,533,2.51,395,109,113,287
41618,Puchenau,4454,13.8,25.4,6.1,74.1,2.8,55.8,29.3,84.6,2115,2.1,1348,353,380,855
41617,Ottensheim,4748,14.8,19.7,7.8,77.2,2.5,59.4,22.7,77.1,2165,2.19,1386,397,456,1850
41616,Ottenschlag im Mühlkreis,559,20.2,15.4,2.1,79.4,2.3,66.8,9,82.6,185,3.02,159,40,42,75
41615,Oberneukirchen,3188,15.5,19,3.5,79.5,2,65.7,10.6,69.3,1255,2.53,928,263,275,1135
41614,Lichtenberg,2705,16.3,19,3,80,1.7,58.9,25.7,79.4,1109,2.44,829,241,251,576
41613,Kirchschlag bei Linz,2201,16.3,16,7.2,78.3,2.5,62.4,17.5,77.8,929,2.37,645,205,212,675
41612,Herzogsdorf,2648,16.4,15.1,1.8,85.5,0.6,69.2,9,79.2,963,2.75,778,232,243,607
41611,Hellmonsödt,2337,14.3,21.9,6.5,80.2,2.3,62.7,16.5,78.9,1009,2.24,672,187,213,767
41610,Haibach im Mühlkreis,923,16.3,17.7,3.7,82.8,1,67.4,14,83,328,2.81,272,78,81,128
41609,Gramastetten,5119,15.6,20.7,4.2,79.7,1.8,60.8,19.5,77.7,2072,2.41,1524,433,456,1293
41608,Goldwörth,817,14.2,17.9,2.7,80.2,2.1,64.8,14.7,84.7,337,2.42,259,62,64,192
41607,Gallneukirchen,6583,13.9,17.6,7.4,75.7,2.9,58.4,19.7,79.6,2943,2.16,1847,935,1025,3407
41606,Feldkirchen an der Donau,5353,14.1,19.7,5,80.1,1.5,65.8,10.3,76.1,2196,2.38,1556,400,432,1563
41605,Engerwitzdorf,8805,15.7,17.7,4.2,78.3,2,63.7,15.9,83.3,3532,2.42,2598,509,550,2596
41604,Eidenberg,2119,15.9,14.5,3.4,82.7,2,68.2,12.1,80.6,837,2.53,619,193,201,406
41603,Bad Leonfelden,4253,15.6,19.2,7.3,78.7,2.4,64.4,10.7,58.4,1752,2.36,1161,351,403,2739
41602,Altenberg bei Linz,4666,18.2,17.5,3.1,80.6,1.4,61.3,20.1,76.6,1759,2.64,1396,399,416,1082
41601,Alberndorf in der Riedmark,4165,17.7,15,3,80.4,1.5,68.5,11.2,81.7,1569,2.65,1244,278,294,746
41522,Weyer,4177,14.3,23.9,6.7,75.9,3.5,63.3,9.9,58.7,1730,2.33,1180,275,330,1448
41521,Wolfern,3171,15.4,20.6,2.4,80.7,2.5,68,11.8,74.5,1313,2.37,957,264,282,1494
41518,Waldneukirchen,2223,15,17.3,5.4,79.9,1.9,66.5,9.2,72.3,847,2.61,649,218,233,1303
41517,Ternberg,3391,14.9,21.7,4.1,80,3.5,70,7.3,66.7,1384,2.4,961,305,341,1359
41516,Sierning,9374,14,19.1,9.5,77.2,4.9,67.4,9.1,76.7,4179,2.2,2720,562,630,2774
41515,Schiedlberg,1244,14.8,18,5.9,80.3,2.8,67.3,10.5,70.7,473,2.63,373,159,170,533
41514,St. Ulrich bei Steyr,3030,14.4,21.5,3,78.8,2.6,62.8,16.4,80.7,1233,2.46,931,289,308,1030
41513,Rohr im Kremstal,1413,18,14.7,7.8,76.1,4.3,66.7,9.8,80.7,558,2.53,421,104,112,396
41512,Reichraming,1710,12.6,21.8,4,77.2,3.7,68.8,5,72.9,729,2.35,514,132,144,532
41511,Pfarrkirchen bei Bad Hall,2317,15.3,18.3,6.3,79,3.6,66.7,11.2,86.4,983,2.36,703,129,134,447
41510,Maria Neustift,1608,18.5,16,1.6,80.6,2.5,66.1,5.8,72.8,537,2.99,452,143,149,345
41509,Losenstein,1632,15.4,19.6,5.9,76.1,5.6,67.5,9.2,64.6,656,2.49,486,124,140,946
41508,Laussa,1235,16,17,1.4,81.4,1.6,68.6,6,71.2,452,2.73,350,113,119,292
41507,Großraming,2684,17.2,20.9,2.5,78.9,2.2,66.8,9.2,68.4,1073,2.49,766,203,222,1161
41506,Garsten,6646,14.4,19.9,6,72.9,3.3,62.9,15.3,79.8,2547,2.44,1867,425,456,1774
41505,Gaflenz,1930,17.6,19.1,3.7,81.1,1.7,66.9,7.5,66.6,713,2.71,568,171,179,626
41504,Dietach,3257,16,16.7,8.4,80.7,3.2,67.7,13.5,80.1,1376,2.37,992,253,278,1718
41503,Bad Hall,5420,14.5,22,13.7,76.3,4.7,61.4,12.3,67.2,2374,2.19,1488,350,416,3236
41502,Aschach an der Steyr,2305,16.3,17.2,2,80.2,2.5,69.9,13,79.5,846,2.72,709,179,188,457
41501,Adlwang,1885,17.5,16.4,4.3,80.4,2.1,65.9,10.6,74.3,686,2.75,554,155,165,683
41430,Zell an der Pram,2016,16.5,20.6,6.8,79.7,1.9,60.3,9,69.7,747,2.62,557,154,165,830
41429,Wernstein am Inn,1534,14.1,19.6,10.6,75.6,2.1,64.5,8.3,77.3,643,2.39,439,105,110,456
41428,Waldkirchen am Wesen,1185,12.8,17.6,2.6,75.8,1.8,63.4,4.7,75.1,454,2.56,330,109,117,371
41427,Vichtenstein,614,15.3,21.3,15.1,77.9,2.2,60.6,3.7,81.7,258,2.38,164,41,43,85
41426,Taufkirchen an der Pram,2921,14.8,19.9,7.5,75.9,3.2,58.9,7.1,66.9,1178,2.47,868,212,230,1540
41425,Suben,1558,11.9,13.7,22.6,56.5,3.5,59.2,10.7,81.7,530,2.41,382,83,95,774
41424,Sigharting,825,14.4,18.1,3.6,83.5,0.4,64.3,7.1,70.4,309,2.67,239,79,86,463
41423,Schardenberg,2440,18.6,18.4,15.5,74.8,2.3,64.7,7.6,71.9,957,2.54,704,202,208,669
41422,Schärding,5251,13.3,22.9,22.5,69.7,5.8,55.6,13,62,2562,2.01,1395,395,542,4448
41421,St. Willibald,1102,12.8,18.3,3.3,80.1,1.4,60,4.1,73.7,443,2.49,330,88,93,456
41420,St. Roman,1727,14.2,16.4,2.4,84.7,1.5,61.8,5.6,71.4,643,2.69,474,156,160,497
41419,St. Marienkirchen bei Schärding,1907,16.2,17.8,8.2,76.9,2.5,61.9,8.4,73.3,745,2.55,561,139,151,976
41418,St. Florian am Inn,3151,15.5,18.2,12.7,75.4,3.7,62,9.1,73.5,1322,2.36,916,202,228,2418
41417,St. Aegidi,1546,14.4,18,2.1,82.1,1,58.6,5.4,70.4,556,2.76,435,144,151,488
41416,Riedau,2066,15.1,17.9,10.6,76.1,2.7,59.7,7.3,76.7,873,2.37,604,105,122,902
41415,Rainbach im Innkreis,1495,16.9,17.1,3.1,81.3,1.7,64,6.9,78,543,2.75,442,138,140,290
41414,Raab,2289,14.6,18.6,7.3,77.5,2.5,62.1,8,71.4,940,2.44,669,198,216,850
41413,Münzkirchen,2538,15.4,17.8,3.5,78.7,1.9,63.4,7.7,71.4,939,2.69,735,182,200,869
41412,Mayrhof,324,19.8,11.1,3.4,88.4,1.5,69.6,7.3,83.6,98,3.31,91,27,27,40
41411,Kopfing im Innkreis,1991,14.9,20.1,4.2,78.5,2,56.2,8,64.4,808,2.46,580,179,188,1039
41410,Freinberg,1441,12.1,21.9,25.4,65.1,1.5,63.6,7.9,68.2,600,2.39,409,76,82,960
41409,Esternberg,2858,12.8,21.4,6.1,79,1.8,59.8,6.2,73.5,1033,2.65,806,170,186,637
41408,Enzenkirchen,1780,15,16,4.4,79.1,2,61.2,4.2,72.9,685,2.6,507,169,176,569
41407,Engelhartszell,923,9.2,24.7,10.1,67.7,2.1,58.1,6.8,58.2,364,2.32,234,78,102,550
41406,Eggerding,1332,16.7,17.9,4.3,80.5,1.1,64.5,7.6,75.7,497,2.68,396,115,118,289
41405,Dorf an der Pram,1053,15.8,16.3,3.6,82.2,1.8,63.6,10.6,72.2,405,2.6,309,87,91,492
41404,Diersbach,1566,13.7,18.4,4.2,79.7,1.7,60.1,7.9,77.1,585,2.66,452,135,142,332
41403,Brunnenthal,2096,16.7,18.1,10.4,75.9,3.6,62.3,13.6,81.6,806,2.6,631,140,148,470
41402,Andorf,5191,15.4,18.3,7.4,78.2,3.3,58,8.6,70.8,2030,2.52,1480,341,392,2174
41401,Altschwendt,703,18.5,17.9,4.3,79,2.9,64.2,8,76,265,2.62,186,55,56,116
41346,St. Stefan-Afiesl,1111,15.2,19.4,2.9,82.1,1.6,62.3,7.5,78.2,432,2.57,333,94,97,271
41345,Helfenberg,1552,14.4,20.8,4.1,77.8,2.1,60.8,9.5,73.1,608,2.55,453,110,116,409
41344,Rohrbach-Berg,5211,13.8,20.3,8.3,77,3.1,57.1,14.2,57.6,2252,2.26,1459,433,578,4634
41343,Aigen-Schlägl,3235,14.4,21.1,6,78.8,3.1,63.4,10.4,64.4,1398,2.26,911,225,255,1492
41342,Ulrichsberg,2834,12.2,22.2,5.4,78.3,3.1,60.5,7.6,64.7,1202,2.3,815,197,220,1221
41341,Schwarzenberg am Böhmerwald,575,10.4,24.7,13.4,75.9,1.4,63.5,5.8,78.7,262,2.19,161,42,45,84
41338,Sarleinsbach,2284,16.9,16.3,2.5,80.7,1.3,63.6,8.1,60,860,2.62,636,207,223,1743
41337,St. Veit im Mühlkreis,1246,16.9,20.3,2.3,83.8,0.9,65.4,9.8,76.5,512,2.43,360,102,105,301
41336,St. Ulrich im Mühlkreis,643,17.6,16.8,1.2,83.2,2.2,59.1,10.6,81.6,246,2.61,183,56,56,133
41334,St. Peter am Wimberg,1748,14.6,16.5,1.9,83.7,1,63.5,7.6,73.7,710,2.44,490,127,138,610
41333,St. Oswald bei Haslach,488,15.8,15.8,3.1,79.9,1.8,64.5,6.6,82.4,199,2.45,145,36,37,87
41332,St. Martin im Mühlkreis,3779,17.6,15.1,4.4,80.5,1.8,65.6,11.6,72.3,1500,2.52,1113,319,345,1760
41331,St. Johann am Wimberg,1008,16.4,16.9,3,82.8,1.2,62.5,8.8,73.4,405,2.49,279,97,100,273
41329,Neustift im Mühlkreis,1459,17.4,17.8,6,78.5,1.3,60.9,7.8,69.8,526,2.77,409,104,109,342
41328,Putzleinsdorf,1537,16.3,15.9,3.7,83.3,1.5,65,8.5,74.5,611,2.52,426,148,157,457
41327,Pfarrkirchen im Mühlkreis,1447,16.4,18.9,5.1,81.5,1.4,60.5,7.4,70.3,538,2.69,404,140,148,434
41326,Peilstein im Mühlviertel,1540,15.5,18.5,2.2,81.9,1.3,64.5,5.9,72.2,617,2.5,446,126,135,535
41325,Oepping,1517,13.5,15.3,1.4,83.4,1.5,66,7.5,76.9,623,2.43,448,116,122,601
41324,Oberkappel,726,16.9,18,12.3,79,1.3,63,6.3,75.4,270,2.62,193,55,61,171
41323,Niederwaldkirchen,1834,17.4,16.8,3.1,82.8,1.7,65.1,9.7,71.3,702,2.61,520,166,176,737
41322,Niederkappel,981,17,20.5,1.9,83.5,1.3,63.4,6.8,75.9,401,2.45,283,77,79,283
41321,Neufelden,1257,16.7,18.9,13.2,76.4,2.6,56.4,15.5,68.8,508,2.45,341,129,148,1103
41320,Nebelberg,643,20.4,14.9,3.7,80.3,0.9,63.5,5.9,81.2,225,2.86,187,32,32,167
41319,Lichtenau im Mühlkreis,479,13.6,18.6,2.9,85.2,0.4,63,6.5,83.2,187,2.56,143,37,37,73
41318,Lembach im Mühlkreis,1532,15.8,21.3,6.7,83.9,1.7,59.5,8.8,73.7,622,2.35,409,111,131,731
41317,Kollerschlag,1515,18,15.6,3.9,81.8,0.9,62.6,4.8,78.4,562,2.69,433,87,92,343
41316,Kleinzell im Mühlkreis,1635,16.9,19,2.1,82.5,1.2,62.7,8.6,81.7,615,2.51,465,86,96,350
41315,Klaffer am Hochficht,1295,13.4,19.1,5.6,79.7,2.1,64,5.3,83.1,569,2.28,378,70,79,245
41314,Kirchberg ob der Donau,1054,15.6,18.4,2.4,81,1.2,63.7,7.2,76.7,443,2.38,298,79,86,325
41313,Julbach,1553,13.8,18.7,3.9,80.5,1.9,61.4,5.7,81.9,645,2.41,458,94,100,249
41312,Hofkirchen im Mühlkreis,1501,17.1,18.3,3.9,80.9,1.8,62.4,6.9,65.4,597,2.5,433,127,141,687
41311,Hörbich,399,15.3,15.5,2,88.4,0.8,66.9,4.4,75,149,2.68,116,49,50,89
41309,Haslach an der Mühl,2554,14.9,23,6.2,77.6,2.3,60,11.1,71.4,1046,2.35,694,171,195,999
41307,Auberg,556,19.6,17.3,2.7,84.3,1.3,64.9,6,75.7,212,2.62,158,63,65,151
41306,Atzesberg,440,16.1,15.7,1.4,81,2.4,62.3,4.1,80.3,162,2.72,134,38,39,65
41305,Arnreit,1137,19.1,15,1.8,81.5,0.9,67.6,8,74.7,454,2.5,308,103,106,397
41304,Altenfelden,2257,16,17.2,4.6,79.7,1.8,63.1,10.3,70.7,882,2.52,648,187,200,1017
41236,Wippenham,569,15.5,15.8,4.9,79.5,2.2,66.1,6.9,87.4,224,2.54,169,33,34,132
41235,Weilbach,619,16.2,19.4,6.9,79.4,3.3,63,8.7,78.4,236,2.62,187,58,61,178
41234,Waldzell,2218,16.1,17.6,4.2,80.1,2.4,64.3,6,69.6,887,2.48,632,180,191,665
41233,Utzenaich,1572,16.2,16.3,8.4,80,2.6,61.2,9.7,78.9,595,2.64,474,122,130,483
41232,Tumeltsham,1596,14.7,17.3,7.7,81.4,1.3,61.4,16.6,79.8,635,2.51,489,175,212,1397
41231,Taiskirchen im Innkreis,2410,17,17.8,4,79.5,2.3,60.8,9.6,74.3,905,2.66,699,184,194,548
41230,Senftenbach,777,13.9,16.3,9,78.8,3.1,62.5,9.6,82.7,300,2.59,230,63,65,211
41229,Schildorn,1207,16.7,15.6,4.1,84.2,2.4,65.2,8.8,81.5,454,2.63,357,91,97,216
41228,St. Martin im Innkreis,2077,17.5,13.6,22.6,79.4,2.5,61.4,9.7,66.3,836,2.48,591,139,162,2112
41227,St. Marienkirchen am Hausruck,882,17.9,12.2,3.4,81.2,1.2,65.1,11.6,77.6,318,2.77,257,79,84,210
41226,St. Georgen bei Obernberg am Inn,570,11.4,22.8,10.7,84,1.5,67.1,10.3,72.6,230,2.48,169,80,82,182
41225,Ried im Innkreis,12202,13.4,20.2,23.5,72.1,6.5,53.2,13.5,48.7,5898,2.01,3219,929,1220,14146
41224,Reichersberg,1553,14.7,18.1,13.7,76.9,2.7,63.5,8.6,70.5,626,2.47,464,119,139,2492
41223,Pramet,1025,14.8,18.6,4.1,82.1,2.2,63.9,8.8,71.8,410,2.5,303,82,87,441
41222,Peterskirchen,697,14.8,20.1,2.9,80.2,3.1,62.3,11.1,78.6,265,2.63,215,61,63,128
41221,Pattigham,991,19.2,16.6,4.7,80.3,2.1,65.3,10.4,80.3,388,2.55,302,85,91,216
41220,Ort im Innkreis,1267,17.2,16.3,13.7,78.7,3.1,61.1,5.7,74.6,499,2.54,360,93,100,727
41219,Obernberg am Inn,1629,10.6,24.9,24.7,70.7,5.2,57.8,7,81.8,742,2.05,435,62,76,477
41218,Neuhofen im Innkreis,2464,14.4,16.8,7.5,77.6,3.8,63.8,14.2,84.6,998,2.47,751,159,167,426
41217,Mühlheim am Inn,662,13.1,20.8,9.5,78,2.8,68.3,6.6,83.2,294,2.25,207,51,52,124
41216,Mörschwang,343,16,17.8,7.9,81.1,1.6,66.3,14.2,70.3,120,2.86,108,42,42,107
41215,Mettmach,2349,15.3,17.2,3.1,78.2,2.5,64.1,5.6,74.5,953,2.46,664,175,189,660
41214,Mehrnbach,2368,13.9,20.7,8.2,80.3,3.1,61.4,9.1,80.6,933,2.44,685,161,170,1236
41213,Lohnsburg am Kobernaußerwald,2246,15.5,19.5,4,80.3,1.8,63.3,7.7,70.7,901,2.49,657,190,198,750
41212,Lambrechten,1337,14.8,18.6,5.5,81.9,2.1,61.5,6.2,68.2,523,2.54,374,124,127,478
41211,Kirchheim im Innkreis,727,15.4,16.4,3.2,81.5,2.2,64.1,7,79.2,288,2.52,212,84,85,235
41210,Kirchdorf am Inn,648,13.1,19.1,11.7,78.4,2.5,61.5,8.5,79.2,265,2.45,185,55,57,159
41209,Hohenzell,2275,16.6,16.9,5.1,76.6,2.6,61.3,15.1,76.6,887,2.56,666,216,238,1187
41208,Gurten,1196,15.2,19,8.4,80.6,4.3,65.5,7.5,69.2,498,2.4,350,95,101,1303
41207,Geinberg,1413,14.3,17.5,12.7,79,2.8,65.3,6,72,621,2.26,404,90,100,1308
41206,Geiersberg,511,14.7,20.5,2.5,79.2,2.2,59.4,8.5,82.6,204,2.5,149,39,40,143
41205,Eitzing,843,16.8,14.2,4.5,80.7,0.8,64.5,9,85.6,328,2.57,258,52,53,120
41204,Eberschwang,3463,14.3,18.8,7.9,81,2.6,64.8,8.5,66.2,1450,2.35,976,274,295,1202
41203,Aurolzmünster,3076,14.6,17.2,14.3,78.2,4,62.1,6.2,81.8,1306,2.36,902,172,196,1669
41202,Antiesenhofen,1097,14,18.2,16,79.4,3.2,59.7,5,81.4,428,2.54,331,62,72,360
41201,Andrichsfurt,776,17.8,15.1,5.5,82.9,3.1,61.9,6.6,73.3,302,2.57,214,77,79,229
41126,Windhaag bei Perg,1507,17.4,14.9,9.4,79.2,2.2,64.9,8.3,79.9,525,2.87,442,110,113,286
41125,Waldhausen im Strudengau,2864,16.7,18.3,4.2,80.4,1.9,62.9,6.9,68.1,1037,2.76,843,213,230,699
41124,Schwertberg,5306,15.7,19.1,12.6,77.2,3.9,59.5,10.8,65.1,2184,2.4,1542,285,324,4270
41123,Saxen,1760,15.5,17.4,6.7,79.2,2.8,65.8,8.8,78.6,646,2.72,509,126,135,385
41122,St. Thomas am Blasenstein,910,17.3,18.6,1.8,85.1,1,62.8,6.5,70,306,2.97,248,98,100,250
41121,St. Nikola an der Donau,761,13.8,17.2,15.9,69.3,6,61.3,7.9,76.2,307,2.36,201,69,69,140
41120,St. Georgen an der Gusen,4265,15.9,19,8.7,79.1,3.4,62,12.6,82.7,1853,2.25,1236,218,246,999
41119,St. Georgen am Walde,1963,15.9,16.6,1.1,80.2,2.1,62.1,5.4,69,685,2.87,562,171,186,517
41118,Ried in der Riedmark,4294,16.6,15.2,3.6,78.7,1.9,65.2,12.1,83.8,1600,2.65,1284,256,269,745
41117,Rechberg,1004,21.8,11.6,3.7,82.7,1.4,65.9,7.8,76.8,357,2.76,292,64,69,222
41116,Perg,8824,15.9,15.8,15.5,76.9,4.3,59.3,11.7,63.2,3817,2.28,2448,645,810,7307
41115,Pabneukirchen,1696,18.9,16.6,2.8,82.3,1.1,62.6,7.1,57.4,526,3.22,485,203,219,830
41114,Naarn im Machlande,3712,17.1,16.1,8.5,79.3,2.7,66.2,7.8,74.7,1387,2.67,1086,281,293,1570
41113,Münzbach,1816,18.8,14.4,9.7,80.4,2.4,64.3,5.4,66.5,663,2.72,513,180,189,1085
41112,Mitterkirchen im Machland,1713,16.7,18.2,5.3,79.1,2,68.3,5.6,77.6,636,2.67,501,118,125,343
41111,Mauthausen,4936,14.3,19.1,15.3,75.2,5.6,58.6,9.7,77.9,2155,2.24,1372,304,385,2736
41110,Luftenberg an der Donau,4238,15.5,16.9,6.4,81.1,2.3,67.8,11.3,86.5,1812,2.34,1324,239,256,1354
41109,Langenstein,2521,13.9,18.2,9.5,76.3,3,64.6,6.6,84.9,1114,2.26,760,130,143,576
41108,Bad Kreuzen,2258,17.4,18.1,4.7,81.7,1.5,61.3,7.7,66.3,662,3.18,601,206,221,829
41107,Klam,942,15.9,11.6,2.8,80.1,2,68.4,7.3,87.5,345,2.73,273,50,54,113
41106,Katsdorf,3189,16.9,14.6,5,80.2,2.3,65.6,15.1,85,1264,2.51,948,218,241,622
41105,Grein,2891,13.4,21.7,9.1,75.1,3.3,63.1,8.6,66,1124,2.48,806,242,288,1331
41104,Dimbach,969,15.2,19.4,0.6,82.8,0.6,60.3,3.8,65.4,340,2.85,273,122,126,318
41103,Baumgartenberg,1789,17.6,18.6,7,77.4,2.1,64.6,9.4,69.5,652,2.62,501,122,132,1047
